time,confirmed,change_confirmed,recovered,change_recovered,deaths,change_deaths
2020-12-22 00:00:00,1570371,0.02356444781641201,1171444,0.02047227083574707,28096,0.03637034304684618
2020-12-23 00:00:00,1604129,0.021496831003629077,1197472,0.022218731753289103,28909,0.028936503416856493
2020-12-24 00:00:00,1630596,0.016499296502962044,1220277,0.01904428663050159,29330,0.01456293887716628
2020-12-25 00:00:00,1632736,0.001312403562869037,1235968,0.012858555885262116,29580,0.008523695874531197
2020-12-26 00:00:00,1646240,0.008270779844383905,1253285,0.01401088054059652,29946,0.012373225152129817
2020-12-27 00:00:00,1658639,0.0075317086208572265,1272032,0.014958289614892064,30297,0.011721097976357443
2020-12-28 00:00:00,1672643,0.00844306687591453,1294932,0.018002691756182236,31145,0.02798956992441496
2020-12-29 00:00:00,1692109,0.011637868929592269,1319757,0.01917089082669978,32267,0.03602504414833842
2020-12-30 00:00:00,1741153,0.028983948433581996,1345952,0.019848350870652703,33230,0.029844733008956518
2020-12-31 00:00:00,1760520,0.01112308912542436,1350708,0.0035335584032714393,33791,0.01688233523924165
2021-01-01 00:00:00,1762637,0.0012024856292459046,1388744,0.02816004643490673,34145,0.010476162291734486
2021-01-02 00:00:00,1773540,0.00618561847958485,1400810,0.008688426376639611,34480,0.009811099721774784
2021-01-03 00:00:00,1783896,0.005839169119388342,1422151,0.015234757033430657,34791,0.009019721577726219
2021-01-04 00:00:00,1796216,0.00690623220187724,1445442,0.0163773045197029,35748,0.02750711390876951
2021-01-05 00:00:00,1814565,0.010215363853790413,1472311,0.01858877768876233,36757,0.02822535526463019
2021-01-06 00:00:00,1841228,0.014693879800392932,1496182,0.0162132864591788,37835,0.02932774709579128
2021-01-07 00:00:00,1886561,0.02462106811323747,1517019,0.013926781634854583,38987,0.030447997885555703
2021-01-08 00:00:00,1905638,0.010112050445228116,1533143,0.01062873965322781,40022,0.026547310642008874
2021-01-09 00:00:00,1928462,0.011977091136931569,1546206,0.008520405467722189,40597,0.014367098096047174
2021-01-10 00:00:00,1929410,0.0004915834483645516,1566907,0.01338825486384091,40936,0.008350370717048057
2021-01-11 00:00:00,1941116,0.006067139695554599,1590171,0.014847084096248214,41799,0.02108168848934923
2021-01-12 00:00:00,1968326,0.014017709400159496,1616761,0.016721472093252865,42889,0.02607717887987751
2021-01-13 00:00:00,1993892,0.01298870207475794,1640682,0.014795631512635448,44096,0.028142414138823475
2021-01-14 00:00:00,2015235,0.010704190598086557,1661394,0.012624018548384148,45207,0.0251950290275762
2021-01-15 00:00:00,2023828,0.004264018836512863,1664176,0.0016744974401015052,45705,0.011015993098413963
2021-01-16 00:00:00,2038645,0.007321274337542518,1680479,0.009796439799636576,46464,0.01660649819494585
2021-01-17 00:00:00,2050129,0.0056331533935530705,1709540,0.017293283641152315,46901,0.00940513085399449
2021-01-18 00:00:00,2059382,0.004513374524237256,1713196,0.0021385869883126453,47263,0.007718385535489649
2021-01-19 00:00:00,2071615,0.005940131554029316,1757713,0.02598476765063659,48997,0.0366883185578571
2021-01-20 00:00:00,2100618,0.014000188258918767,1778319,0.011723188028989943,50010,0.020674735187868644
2021-01-21 00:00:00,2108895,0.003940269006549501,1797648,0.010869253491640139,50876,0.017316536692661467
2021-01-22 00:00:00,2125261,0.007760462232591001,1813894,0.009037364378343257,51713,0.016451765075870744
2021-01-23 00:00:00,2137691,0.005848693407539121,1826161,0.006762798708193533,51873,0.0030939995745750586
2021-01-24 00:00:00,2147769,0.004714432534917348,1840970,0.008109361660883132,52296,0.008154531259036493
2021-01-25 00:00:00,2154656,0.003206583203314695,1859936,0.010302177656344209,53127,0.015890316659017897
2021-01-26 00:00:00,2164043,0.004356611913920366,1881933,0.011826751027992362,53619,0.009260827827658254
2021-01-27 00:00:00,2179679,0.007225364745524927,1881933,0.0,54498,0.01639344262295082
2021-01-28 00:00:00,2194562,0.006828069637776939,1915501,0.01783697931860486,55883,0.025413776652354215
2021-01-29 00:00:00,2207393,0.005846724767858006,1917964,0.0012858254837768291,56286,0.007211495445842206
2021-01-30 00:00:00,2224911,0.007936058508838254,1938929,0.010930862101686997,57105,0.014550687559961625
2021-01-31 00:00:00,2225659,0.00033619322300981925,1940046,0.0005760912338718953,57163,0.0010156728832851764
2021-02-01 00:00:00,2232327,0.0029959665878735242,1967132,0.013961524623642944,58059,0.015674474747651452
2021-02-02 00:00:00,2240017,0.0034448358148246204,1986214,0.009700416647179752,58992,0.016069859970030485
2021-02-03 00:00:00,2252504,0.005574511264869865,2003831,0.008869638417612603,59776,0.013289937618660158
2021-02-04 00:00:00,2265536,0.0057855613130986675,2020303,0.008220254103265195,60634,0.014353586723768737
2021-02-05 00:00:00,2276371,0.004782532698663804,2033168,0.0063678567026827166,61324,0.011379753933436685
2021-02-06 00:00:00,2285003,0.0037920005130973817,2041988,0.0043380576519008755,61551,0.0037016502511251713
2021-02-07 00:00:00,2291673,0.002919033366695799,2052656,0.0052243206130496355,61708,0.0025507302887036766
2021-02-08 00:00:00,2296323,0.002029085301436985,2054340,0.000820400495747948,62191,0.007827186102288197
2021-02-09 00:00:00,2302051,0.002494422605182285,2081966,0.013447627948635571,63006,0.01310479008216623
2021-02-10 00:00:00,2311297,0.0040164184025462514,2096775,0.00711298839654442,63672,0.010570421864584326
2021-02-11 00:00:00,2321225,0.004295423738273359,2109508,0.006072659202823383,64224,0.008669430833019224
2021-02-12 00:00:00,2330422,0.003962132063888679,2120342,0.005135794697152132,64771,0.008517065271549577
2021-02-13 00:00:00,2336906,0.0027823286941163444,2128002,0.0036126247558176936,64990,0.0033811427953868243
2021-02-14 00:00:00,2341744,0.0020702587095929406,2136933,0.004196894551790835,65107,0.0018002769656870288
2021-02-15 00:00:00,2346876,0.0021915290484356958,2148269,0.005304798980595086,65288,0.0027800390127021672
2021-02-16 00:00:00,2352766,0.002509719303448499,2161100,0.005972715707390462,65829,0.008286361965445412
2021-02-17 00:00:00,2362364,0.004079453715329106,2172312,0.005188098653463514,66732,0.013717358610946544
2021-02-18 00:00:00,2372209,0.004167435670370866,2182370,0.004630089968660119,67245,0.007687466283042618
2021-02-19 00:00:00,2381259,0.0038150095543858066,2191208,0.004049725756860661,67741,0.007376013086474831
2021-02-20 00:00:00,2388421,0.0030076526744885796,2197065,0.0026729548267439697,67883,0.0020962194239825217
2021-02-21 00:00:00,2394515,0.002551476477555674,2204110,0.0032065505572206558,67946,0.0009280674101026766
2021-02-22 00:00:00,2399499,0.002081423586822384,2212439,0.0037788495129553426,68363,0.006137226621140317
2021-02-23 00:00:00,2405263,0.0024021681192615625,2221972,0.004308819361799354,68785,0.006172929801208256
2021-02-24 00:00:00,2416037,0.004479343838906598,2231073,0.004095911199601075,69170,0.0055971505415424875
2021-02-25 00:00:00,2427069,0.004566155236861025,2232050,0.00043790588653979496,69343,0.002501084285094694
2021-02-26 00:00:00,2436506,0.0038882289708286003,2247173,0.006775385856051612,69939,0.008594955511010484
2021-02-27 00:00:00,2444177,0.003148360808469177,2252970,0.0025796856761806947,70092,0.002187620640844164
2021-02-28 00:00:00,2450295,0.002503092042843051,2259548,0.002919701549510202,70152,0.0008560178051703475
2021-03-01 00:00:00,2455569,0.002152393895428918,2260719,0.0005182452419687477,70514,0.005160223514653894
2021-03-02 00:00:00,2462061,0.002643786429947601,2277626,0.007478594199456014,70926,0.005842811356610035
2021-03-03 00:00:00,2472913,0.004407689330199373,2286728,0.0039962662877926405,71285,0.005061613512675182
2021-03-04 00:00:00,2484306,0.00460711719336669,2295405,0.0037945046371934046,71554,0.0037735849056603774
2021-03-05 00:00:00,2493887,0.003856610256546496,2302899,0.0032647833388879085,71852,0.004164686809961707
2021-03-06 00:00:00,2502151,0.003313702665758312,2308094,0.0022558522974737492,71951,0.0013778322106552357
2021-03-07 00:00:00,2508655,0.0025993635076380283,2314400,0.002732124428207863,71984,0.00045864546705396726
2021-03-08 00:00:00,2513784,0.0020445218653023234,2322734,0.0036009332872450743,72236,0.0035007779506557014
2021-03-09 00:00:00,2520618,0.0027186106682197037,2331890,0.003941906391347438,72534,0.004125366853092641
2021-03-10 00:00:00,2541781,0.00839595686454671,2340473,0.0036807053505954397,72858,0.004466870708908926
2021-03-11 00:00:00,2546526,0.0018668012704477687,2349384,0.0038073500527457485,73120,0.003596036125065195
2021-03-12 00:00:00,2559296,0.005014674894346259,2356590,0.0030671869732661837,73348,0.0031181619256017506
2021-03-13 00:00:00,2569864,0.004129260546650329,2357374,0.00033268409014720424,73369,0.00028630637508861865
2021-03-14 00:00:00,2578842,0.0034935700877556167,2368995,0.004929637808850017,73463,0.0012811950551322765
2021-03-15 00:00:00,2585385,0.002537185294795106,2377584,0.0036255880658253815,73701,0.003239726120632155
2021-03-16 00:00:00,2603064,0.0068380531332857585,2387232,0.004057900793410453,73952,0.0034056525691645973
2021-03-17 00:00:00,2610769,0.0029599733237446334,2387743,0.00021405544161606413,74043,0.001230527909995673
2021-03-18 00:00:00,2639258,0.010912110569721028,2405600,0.007478610553983406,74402,0.004848533959996218
2021-03-19 00:00:00,2654734,0.005863769286670723,2413584,0.003318922514133688,74608,0.0027687427757318354
2021-03-20 00:00:00,2669233,0.005461564134109104,2419292,0.00236494772918614,74706,0.0013135320609049968
